date,parliament,division,cause,formerMember,party,winner,party,unopposed
1967-09-30,,Capricornia,Death,George Gray,Labor,Doug Everingham,Labor,
1967-07-22,,Corio,Resignation,Hubert Opperman,Liberal,Gordon Scholes,Labor,
1966-04-02,25th Parliament (1963–1966),Kooyong,Resignation,Sir Robert Menzies,Liberal,Andrew Peacock,Liberal,
1966-02-26,,Dawson,Death,George Shaw,Country,Rex Patterson,Labor,
1965-02-27,,Riverina,Resignation,Hugh Roberton,Country,Bill Armstrong,Country,
1964-12-05,,Robertson,Resignation,Roger Dean,Liberal,William Bridges-Maxwell,Liberal,
1964-06-20,,Angas,Resignation,Sir Alick Downer,Liberal,Geoffrey Giles,Liberal,
1964-06-20,,Parramatta,Resignation,Sir Garfied Barwick,Liberal,Nigel Bowen,Liberal,
1964-02-15,,Denison,Death,Athol Townley,Liberal,Adrian Gibson,Liberal,
1963-09-28,24th Parliament (1961–1963),East Sydney,Death,Eddie Ward,Labor,Len Devine,Labor,
1963-06-01,,Grey,Death,Edgar Russell,Labor,Jack Mortimer,Labor,
1962-09-01,,Batman,Death,Alan Bird,Labor,Sam Benson,Labor,
1960-12-10,23rd Parliament (1958–1961),Higinbotham,Death,Frank Timson,Liberal,Don Chipp,Liberal,
1960-11-05,,Calare,Resignation,John Howse,Liberal,John England,Country,
1960-07-16,,Balaclava,Resignation,Percy Joske,Liberal,Ray Whittorn,Liberal,
1960-07-16,,Bendigo,Death,Percy Clarey,Labor,Noel Beaton,Labor,
1960-04-09,,Hunter,Resignation,H. V. Evatt,Labor,Bert James,Labor,
1960-04-09,,La Trobe,Resignation,Richard Casey,Liberal,John Jess,Liberal,
1958-03-08,22nd Parliament (1955–1958),Parramatta,Resignation,Howard Beale,Liberal,Sir Garfield Barwick,Liberal,
1957-09-15,,Richmond,Death,Larry Anthony,Country,Doug Anthony,Country,
1956-12-08,,Wentworth,Resignation,Sir Eric Harrison,Liberal,Les Bury,Liberal,
1956-10-13,,Barker,Death,Archie Cameron,Liberal,Jim Forbes,Liberal,
1956-04-11,,Cunningham,Death,Billy Davies,Labor,Victor Kearney,Labor,1
1955-05-21,21st Parliament (1954–1955),Cook,Death,Tom Sheehan,Labor,Jim Cope,Labor,
1953-12-19,20th Parliament (1951–1954),Gwydir,Death,Thomas Treloar,Country,Ian Allan,Country,
1953-08-29,,Corangamite,Death,Allan McDonald,Liberal,Dan Mackinnon,Liberal,
1953-08-29,,Lang,Death,Dan Mulcahy,Labor,Frank Stewart,Labor,
1953-05-09,,Dalley,Death,Sol Rosevear,Labor,Arthur Greenup,Labor,
1952-12-20,,Bradfield,Death,Billy Hughes,Liberal,Harry Turner,Liberal,
1952-11-29,,Werriwa,Death,Bert Lazzarini,Labor,Gough Whitlam,Labor,
1952-10-18,,Flinders,Death,Rupert Ryan,Liberal,Keith Ewert,Labor,
1952-03-22,,Lyne,Death,Jim Eggins,Country,Philip Lucock,Country,
1951-07-28,,Balaclava,Resignation,Thomas White,Liberal,Percy Joske,Liberal,
1951-07-28,,Macquarie,Death,Ben Chifley,Labor,Tony Luchetti,Labor,
1946-03-30,17th Parliament (1943–1946),Henty,Resignation,Arthur Coles,Independent,Jo Gullett,Liberal,
1946-02-09,,Wimmera,Resignation,Alexander Wilson,Independent,Winton Turnbull,Country,
1945-08-18,,Fremantle,Death,John Curtin,Labor,Kim Beazley,Labor,
1941-05-24,16th Parliament (1940–1943),Boothby,Death,John Price,United Australia,Grenfell Price,United Australia,
1940-12-21,,Swan,Death,Henry Gregory,Country,Thomas Marwick,Country,
1940-11-16,,Kalgoorlie,Death,Albert Green,Labor,Herbert Johnson,Labor,
1940-03-02,15th Parliament (1937–1940),Corio,Resignation,Richard Casey,United Australia,John Dedman,Labor,
1939-05-27,,Wilmot,Death,Joseph Lyons,United Australia,Lancelot Spurr,Labor,
1939-05-20,,Griffith,Death,Frank Baker,Labor,William Conelan,Labor,
